migration_id,current_path,current_domain,current_layer,target_domain,target_layer,target_path,reason,status,hash_source,hash_target
M011,backend/app/hoc/cus/analytics/L6_drivers/alert_driver.py,analytics,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/alert_driver.py,"Driver follows its engine. alert_worker → general, so alert_driver → general for consistency.",MOVED,583cb09a6b7d9475bec2ac8837ffdd92e4444aa5377f7a7886ba627ad9935a71,
M012,backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker.py,analytics,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/circuit_breaker.py,"""circuit breaker"" is EXPLICITLY in controls' qualifier_phrases. Circuit breakers are safety controls that limit system behavior when thresholds are exceeded. The fact that it creates ""incidents"" (CB incidents) is coincidental naming - these are control state records, not domain Incidents.",MOVED,03ad288bbe357fbb0c0ecec2d4f3b13ab102557d16a4a80f350b0c450c3e7cc5,
M013,backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker_async.py,analytics,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/circuit_breaker_async.py,"Same as sync version. ""circuit breaker"" is EXPLICITLY in controls' qualifier_phrases. This is the async variant of the same control mechanism.",MOVED,46b3df5ca4eaa529f4c9d52874d613907b09844f384302487ca14079ccac052d,
M014,backend/app/hoc/cus/incidents/L5_engines/channel_engine.py,incidents,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/channel_engine.py,"Manages external system connections (Slack, PagerDuty, Teams webhooks). The qualifier phrase ""webhook"", ""connector"", ""integration"" are explicit in integrations' qualifier_phrases. Called by multiple domains (cross-domain), not incident-specific.",MOVED,c53324baaf293a2a08f99527aa1d01fd74d83e853af28c031510171774da54cc,
M015,backend/app/hoc/cus/incidents/L5_engines/degraded_mode_checker.py,incidents,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/degraded_mode_checker.py,"Primary decision is ""WHEN runs can execute"" (governance enforcement). Creating incidents is a side effect, not the core decision. Matches general's qualifier_phrases: ""governance enforcement"", ""runtime enforcement"". The file decides whether to BLOCK/WARN runs based on system state — that's runtime orchestration.",MOVED,b3f610fedb710b649787074104ac94e3df66c3d900f90bb387069a2e0764e2b0,
M016,backend/app/hoc/cus/incidents/L5_engines/evidence_report.py,incidents,L5 — Domain Engine,logs,L5 — Domain Engine,backend/app/hoc/cus/logs/L5_engines/evidence_report.py,"Matches logs' qualifier_phrases: ""evidence report"", ""proof"", ""immutable record"". The file generates legal-grade evidence documents — that's audit trail domain, not incident classification. An incident is the SUBJECT of the report; the DECISION is about evidence completeness and verification. | IMPORT REPOINTED: guard.py:1837 repointed to logs.L5_engines.evidence_report",DELETE_DUPLICATE,28e06c132f52cf0b250852aacfe5f9e1fd00d04738dd362df159999c13bcf7fd,4150160b4ae6b0340eaee13379321823f9c91323733e54ed2e06f99af0161e3a
M017,backend/app/hoc/cus/incidents/L5_engines/failure_mode_handler.py,incidents,L5 — Domain Engine,policies,L5 — Domain Engine,backend/app/hoc/cus/policies/L5_engines/failure_mode_handler.py,"Called by prevention_engine.py (policy domain). The decision is ""what happens when policy evaluation fails"" — that's policy behavior, not incident classification. The file doesn't classify failures as incidents; it determines the policy engine's response to its own failures.",MOVED,6178d6f7fd3669e6237361d961e1f22267cc6a67bd8bbb90c995e252aa43f0d3,
M018,backend/app/hoc/cus/incidents/L5_engines/lessons_engine.py,incidents,L5 — Domain Engine (System Truth),policies,L5 — Domain Engine (System Truth),backend/app/hoc/cus/policies/L5_engines/lessons_engine.py,"""lesson learned"" is EXPLICITLY in policies' qualifier_phrases. Lessons are the ""memory substrate for policy evolution."" References POLICIES_DOMAIN_AUDIT.md.",MOVED,c94234ce453e00f3ff1a773f66fc2fa83a69aa0a5e06876832ee707aa29b3db2,
M019,backend/app/hoc/cus/incidents/L5_engines/mapper.py,incidents,L5 — Domain Engine,logs,L5 — Domain Engine,backend/app/hoc/cus/logs/L5_engines/mapper.py,"Maps incidents to SOC2 controls for compliance/audit purposes. Matches logs: ""evidence record"", ""proof"", ""audit"".",MOVED,696ecc2195df0e16fe46ff11682e68e2740c79249651cdb143f749edf8555a33,
M020,backend/app/hoc/cus/incidents/L5_engines/panel_invariant_monitor.py,incidents,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/panel_invariant_monitor.py,"Monitors system health for governance failures. ""governance enforcement"" in general's qualifier_phrases. Infrastructure monitoring, not incident classification. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,8c2bb2467239ea19921d862c873c3015d74ba081015a1cfb33942db8a58a09dc,457ff7476231d90cfd014fbabe0a8193cb0fbf4bae6c82e3f815898cb595b78c
M021,backend/app/hoc/cus/incidents/L5_engines/panel_verification_engine.py,incidents,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/panel_verification_engine.py,"Enforces system-wide determinism rules for panels. Infrastructure verification, not incident classification.",MOVED,65d6a37dca98f06c750e61b557b61938778583ca9c6ba866d9234d96e2c5b603,
M022,backend/app/hoc/cus/incidents/L5_engines/pdf_renderer.py,incidents,L5 — Domain Engine,logs,L5 — Domain Engine,backend/app/hoc/cus/logs/L5_engines/pdf_renderer.py,"Renders evidence documentation for compliance. Similar to evidence_report.py. Matches logs: ""evidence record"", ""proof"". | IMPORT REPOINTED: incidents.py:1852,1918,1984 repointed to logs.L5_engines.pdf_renderer",DELETE_DUPLICATE,f76b79bf58aa52c07e25abc4e34dc105c0c4a511dbfcdee795ec34795932449e,2d269345eb38d14b7274c90c79cb251371ae6d21bc0408a4e45be4c56876e2e9
M023,backend/app/hoc/cus/incidents/L5_engines/recovery_evaluation_engine.py,incidents,L5 — Domain Engine (System Truth),policies,L5 — Domain Engine (System Truth),backend/app/hoc/cus/policies/L5_engines/recovery_evaluation_engine.py,"Evaluates recovery RULES to make decisions. Imports RecoveryMatcher from policies domain. ""Rule evaluation"" is policy domain.",MOVED,093df4850276c2b3c7a1454dade226e70a5cbf4bf0f3321eddfd87670c08f080,
M024,backend/app/hoc/cus/incidents/L5_engines/runtime_switch.py,incidents,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/runtime_switch.py,"""Runtime toggle for governance enforcement"" matches general's ""runtime enforcement"" and ""governance enforcement"". System-wide runtime orchestration, not customer-configured limits. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,595823d192318cbaf2045c48ae3496637b579950755f8bd78d3227ec5ec6f139,fe7347961520795fabb4812b2009ce6a89f24e4a5d0d96116e75dd33fcae4a05
M025,backend/app/hoc/cus/incidents/L6_drivers/scoped_execution.py,incidents,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/scoped_execution.py,"""cost ceiling"" matches controls' ""cost limit"". ""action limits"" matches controls' ""rate limit"". Enforces execution limits.",MOVED,01f6f705630fd319594eda537401ddbf7c8f58862c1a8cb3de3daf4179b18bd1,
M026,backend/app/hoc/cus/logs/L5_engines/alert_fatigue.py,logs,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/alert_fatigue.py,"""Rate limit"" is EXPLICITLY in controls' qualifier_phrases. Controls WHEN alerts are sent via rate limiting and deduplication.",MOVED,1c3eda6f4d1fd8363afb68d1bbf445f0c08d9fe7cabc0dd6dc1063133d89b173,
M027,backend/app/hoc/cus/logs/L5_engines/audit_durability.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/audit_durability.py,"""governance enforcement"" in general's qualifier_phrases. This is governance enforcement for audit system invariants - decides WHEN operations can proceed based on durability.",MOVED,585595f6ba0699704e0b668e6ff9afd4ce5f9d20ed4a389ba5716eb5b1181d38,
M028,backend/app/hoc/cus/logs/L5_engines/monitors_facade.py,logs,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/monitors_facade.py,"Monitors external services (HTTP, TCP, DNS health). Matches integrations ""connector"", ""external"". Not about immutable audit records.",MOVED,e43a12a46f973d44b426ec2ac07f370e3afd7a3080da6d6e518ee59038b5aef4,
M029,backend/app/hoc/cus/logs/L5_engines/notifications_facade.py,logs,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/notifications_facade.py,"Delivers notifications to external channels (email, Slack, webhook, SMS). Matches integrations ""webhook"", ""external adapter"", ""connector"". Not about immutable audit records.",MOVED,04830280d5d82ea94a1b179848762d96db665d0870480b1f86cc6c4587561d58,
M030,backend/app/hoc/cus/logs/L5_engines/alerts_facade.py,logs,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/alerts_facade.py,"Manages customer-configured alert rules with thresholds and conditions. ""threshold config"" is in controls' qualifier_phrases. Alert rules define WHEN alerts fire based on limits/thresholds - that's controls domain.",MOVED,67702b18cb70180f80f11ded566e73e8f5a15c7602f3bb8ff005cb13ff90fce3,
M031,backend/app/hoc/cus/logs/L5_engines/connectors_facade.py,logs,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/connectors_facade.py,"""connector"" is explicitly in integrations' qualifier_phrases. Manages external HTTP, SQL, MCP connectors. Core external system connectivity. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,2e73497efa87cb7c0f786aca8923d3eccea773536f1ff1f3ee12d08de722e483,086505a8d6d72b1e3e2129fbc24d5b15d171b1b6982b23124c089e9015e49786
M032,backend/app/hoc/cus/logs/L5_engines/controls_facade.py,logs,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_engines/controls_facade.py,"""killswitch"", ""circuit breaker"", ""feature flag"", ""throttle"" are ALL explicitly in controls' qualifier_phrases. This IS the controls domain facade.",MOVED,0e91b0d57e8d1acefadeaeaed4562a9525d5eea930edbba2e313d2ca1681821b,
M033,backend/app/hoc/cus/logs/L5_engines/datasources_facade.py,logs,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/datasources_facade.py,"Manages external data sources. Imports from `integrations.L5_schemas.datasource_model`. External system connection management = integrations. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,7581e0fd2fc0672c1bbad1a141c541c8d03b73c1ce02ca9ceb34d1016048ba34,48657e617f2eaee4db50ae70bbe8158297e90a191ee925a786c1200193a2824e
M034,backend/app/hoc/cus/logs/L5_engines/detection_facade.py,logs,L5 — Domain Engine,analytics,L5 — Domain Engine,backend/app/hoc/cus/analytics/L5_engines/detection_facade.py,"Anomaly detection = behavioral analysis (deriving anomalies from data patterns). ""behavioral analysis"" and ""divergence"" are in analytics' qualifier_phrases. Detection is about deriving insights, not classifying incidents. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,96b9881a4f5824daed4a4e8cb87b509994e426b479ca70f807c65c7e1b10912a,d4eba31369b1d327db29fa0cc50e92fbe8f94c3451319f7652de7d761cc0eb28
M035,backend/app/hoc/cus/logs/L5_engines/durability.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/durability.py,"""governance enforcement"" is in general's qualifier_phrases. Enforces system-wide durability invariants before operations proceed. Same pattern as audit_durability.py.",MOVED,585595f6ba0699704e0b668e6ff9afd4ce5f9d20ed4a389ba5716eb5b1181d38,
M036,backend/app/hoc/cus/logs/L5_engines/lifecycle_facade.py,logs,L5 — Domain Engine,general/L5_engines/lifecycle/,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/lifecycle/lifecycle_facade.py,"System-wide lifecycle management that defines canonical agent/run states. Activity domain needs to IMPORT from this to define LLM_RUN states. This is shared infrastructure, not activity-specific logic. Move to `general/L5_engines/lifecycle/lifecycle_facade.py`.",MOVED,806f4c831ca2e26548bb62b4be5fd1164e1258ba7f308393cb1a6f1e6cf64150,
M037,backend/app/hoc/cus/logs/L5_engines/retrieval_facade.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/retrieval_facade.py,"Facade over RetrievalMediator which is system-wide data access governance. Provides unified access to multiple data planes with policy enforcement. Cross-domain orchestration, not logs-specific.",MOVED,65f62ba75b7c3f8e59ff239d57d0054706dba5f3fef5bcdbb535615a43a4e847,
M038,backend/app/hoc/cus/logs/L5_engines/retrieval_mediator.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/retrieval_mediator.py,"Central orchestrator for data access that coordinates policies (policy check), integrations (connectors), and logs (evidence). Matches general's ""gateway control"" qualifier. System-wide data access governance, not domain-specific.",MOVED,61c3fdc52a5f5a614bb6d66bb76e688b47479140c629987955c3403bb1af5d55,
M039,backend/app/hoc/cus/logs/L5_engines/panel_slot_evaluator.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/panel_slot_evaluator.py,"Panel slot evaluation is system-wide UI infrastructure. Computes system_state, attention signals for panels. Infrastructure for all domains' panels, not logs-specific.",MOVED,61933bee96a9c2f3113aba942cb2e5ae7f372e9c3df60326888be3c455ce7bc8,
M040,backend/app/hoc/cus/logs/L5_engines/scheduler_facade.py,logs,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_engines/scheduler_facade.py,"Job scheduling is system-wide orchestration. Controls WHEN things execute. Matches general's ""execution order"" and ""workflow orchestrat"" patterns. Not logs-specific. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,36a61ff1f69add96cc4995d402086ac3dbf0f3c614d464cee28241fa62b80274,8fd355593a1a65fd7052b8bbd0132946a94c0d6c4861dc18806dcdd8ba3673a8
M041,backend/app/hoc/cus/logs/L5_engines/service.py,logs,L5 — Domain Engine,integrations,L5 — Domain Engine,backend/app/hoc/cus/integrations/L5_engines/service.py,"Credential/vault management for connectors. Callers include ConnectorRegistry. Secrets management for external connections matches integrations' ""integration config"" qualifier.",MOVED,c418f98a64a06b57fe7c291978c8ea0859c58890ca828183dd4cef167c53c19f,
M042,backend/app/hoc/cus/policies/L5_controls/drivers/killswitch_read_driver.py,policies,L6 — Driver,controls,L6 — Driver,backend/app/hoc/cus/controls/L5_controls/drivers/killswitch_read_driver.py,"""killswitch"" is EXPLICITLY in controls' qualifier_phrases. Driver",MOVED,54b0eb0ed413e34f3b134b2f11586733a8f1c87311fa5c0e3c727eb9cba3bd46,
M043,backend/app/hoc/cus/policies/L5_controls/drivers/runtime_switch.py,policies,L5 — Domain Engine,general,L5 — Domain Engine,backend/app/hoc/cus/general/L5_controls/drivers/runtime_switch.py,"""governance enforcement"" matches general's qualifier. System-wide",MOVED,aef8649ca57b0cf89f94d9b2d20e87ae05016b72a38ad90e43e6ce005ae7754f,
M044,backend/app/hoc/cus/policies/L5_controls/engines/degraded_mode_checker.py,policies,L4 — Domain Engines,general,L4 — Domain Engines,backend/app/hoc/cus/general/L5_controls/engines/degraded_mode_checker.py,Governance state management deciding WHEN actions can execute.,MOVED,36a4051797ed1e07459ca3bbe724c78f3725476a91f787ae71990f07c8142ede,
M045,backend/app/hoc/cus/policies/L5_controls/engines/customer_killswitch_read_engine.py,policies,L5 — Domain Engine,controls,L5 — Domain Engine,backend/app/hoc/cus/controls/L5_controls/engines/customer_killswitch_read_engine.py,"""killswitch"" is EXPLICITLY in controls' qualifier_phrases.",MOVED,2b3f4212bf0768e9059e1f723712dc68c59afdd30bff55ba582060e654bc6ff9,
M046,backend/app/hoc/cus/policies/L5_schemas/retry.py,policies,L6 — Platform Substrate (per header),general,L6 — Platform Substrate (per header),backend/app/hoc/cus/general/L5_schemas/retry.py,"""retry logic"" is EXPLICITLY in general's qualifier_phrases. Retry",MOVED,5b4aadb6392e53a22cc872372174d52a76f477d0007ca52f0c40f9e7541a91be,
M047,backend/app/hoc/cus/policies/L5_schemas/overrides.py,policies,L5 — Domain Schema,controls,L5 — Domain Schema,backend/app/hoc/cus/controls/L5_schemas/overrides.py,"Limit override schemas. Overrides temporarily modify LIMITS, which",MOVED,14df3849fae83efc27437f2b6b8eab89a8f96168eb689b62340db3746808c892,
M048,backend/app/hoc/cus/policies/L5_schemas/simulation.py,policies,L5 — Domain Schema,controls,L5 — Domain Schema,backend/app/hoc/cus/controls/L5_schemas/simulation.py,"Limit simulation schemas. ""rate limit"", ""budget"", ""threshold limit""",MOVED,48fd90fd190c58979128478de0b2aa7273a32a39363fbdd4f3dd20796e114e6e,
M049,backend/app/hoc/cus/policies/L5_schemas/policy_limits.py,policies,L5 — Domain Schema,controls,L5 — Domain Schema,backend/app/hoc/cus/controls/L5_schemas/policy_limits.py,"Despite name ""policy_limits"", these are LIMIT schemas (budget, rate,",MOVED,00290bc4004151ce6cf3a198ccf9d65469910750c969d0992f40252c525324cf,
M050,backend/app/hoc/cus/policies/L6_drivers/alert_emitter.py,policies,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/alert_emitter.py,"Alert emission is system-wide notification orchestration (WHEN and | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,0a7aca6e6fabe0f5c54349e27c20c03dbd9e6d44bed869b9795f3f6859561ab1,3569ac10bc0278d1570cc00c8735f842ab5b172f42f4457c4c95484877ed624d
M051,backend/app/hoc/cus/policies/L6_drivers/override_driver.py,policies,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/override_driver.py,Limit overrides belong to controls domain. The file manages temporary,MOVED,bc89d81017341b222c8b75fc6a2b3d7f78bf3d51dacb7a616c7ace8f47a0f76d,
M052,backend/app/hoc/cus/policies/L6_drivers/budget_enforcement_driver.py,policies,L6 — Data Access Driver,controls,L6 — Data Access Driver,backend/app/hoc/cus/controls/L6_drivers/budget_enforcement_driver.py,"""budget"" is EXPLICITLY in controls' qualifier_phrases. Budget",MOVED,27313a3cb30527ec3e1396a2d203f28ebf46a35d46fb6fc773e36958cceda309,
M053,backend/app/hoc/cus/policies/L6_drivers/capture.py,policies,L6 — Domain Driver,logs,L6 — Domain Driver,backend/app/hoc/cus/logs/L6_drivers/capture.py,"Evidence capture/persistence. ""evidence record"" is in logs' qualifier_phrases.",MOVED,1cdb4d74b76fba0e2ed3746fb93227d93d1902af6ab0ec9ed2e8e7b24575fcec,
M054,backend/app/hoc/cus/policies/L6_drivers/cross_domain.py,policies,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/cross_domain.py,"Cross-domain orchestration coordinating policies↔analytics↔incidents. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,b6db56fc7f66ff5da7aabe4a44370c35dde13f34e2a2d6523bb6b3f516e4bc6f,0b128a296c7785c255c8cc5106a1e59cabcdf2c228673c0a2b3b760552532546
M055,backend/app/hoc/cus/policies/L6_drivers/dag_executor.py,policies,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/dag_executor.py,"""execution order"" is in general's qualifier_phrases. DAG execution",MOVED,f844a0755cc06a0c1bd48c7ffca1affa4cd226c55732f0ab786e88f7e2cd0c8c,
M056,backend/app/hoc/cus/policies/L6_drivers/governance_signal_driver.py,policies,L6 — Domain Driver,general,L6 — Domain Driver,backend/app/hoc/cus/general/L6_drivers/governance_signal_driver.py,"""governance enforcement"" in general's qualifier_phrases. Governance",MOVED,0d9b19d7ef2760b3d69b839c88598efb0c89a1528b0587cc55880e0ceeed5ee8,
M057,backend/app/hoc/cus/policies/L6_drivers/keys_driver.py,policies,L6 — Domain Driver,apis,L6 — Domain Driver,backend/app/hoc/cus/apis/L6_drivers/keys_driver.py,"""api key"" is EXPLICITLY in apis' qualifier_phrases. API key data",MOVED,385ac8944b80beadd476452cb49e23c6512f181392a61ec1e735ab199d3a8e43,
M058,backend/app/hoc/cus/policies/L6_drivers/limits_read_driver.py,policies,L6 — Data Access Driver,controls,L6 — Data Access Driver,backend/app/hoc/cus/controls/L6_drivers/limits_read_driver.py,"""limit"" is EXPLICITLY in controls' qualifier_phrases. Limits read",MOVED,5aa1f9ed1bc2a74fe0419d68b2c5332d571a468b76453d852ac58b020c8853ca,
M059,backend/app/hoc/cus/policies/L6_drivers/llm_threshold_driver.py,policies,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/llm_threshold_driver.py,"""threshold config"" is in controls' qualifier_phrases. Threshold",MOVED,0ebb8cae79f04859a8cda17791d44cf52375c0b2a6c8cb4d0114f5f488991f85,
M060,backend/app/hoc/cus/policies/L6_drivers/orphan_recovery.py,policies,L6 — Domain Driver,activity,L6 — Domain Driver,backend/app/hoc/cus/activity/L6_drivers/orphan_recovery.py,"""run lifecycle"", ""run state"" are in activity's qualifier_phrases.",MOVED,6445c9dce566454f7a990bc4d49a31eda18ed4cb0c2eed9cd66f172a0d330bcc,
M061,backend/app/hoc/cus/policies/L6_drivers/policy_limits_driver.py,policies,L6 — Domain Driver,controls,L6 — Domain Driver,backend/app/hoc/cus/controls/L6_drivers/policy_limits_driver.py,"""limit"" is EXPLICITLY in controls' qualifier_phrases. This driver",MOVED,2f94adae2e7aa300cebb21ffdd0c41e7ca6200cd7fc138defcd348ad1e6b39de,
M062,backend/app/hoc/cus/policies/L5_engines/audit_engine.py,policies,L8 — Catalyst / Verification,logs,L8 — Catalyst / Verification,backend/app/hoc/cus/logs/L5_engines/audit_engine.py,"""audit"" is EXPLICITLY in logs' qualifier_phrases. This engine",MOVED,18064c94e1d33775563ace0ad4b19da9d6f468a9ae8482b65b345f8071eb1bc6,
M063,backend/app/hoc/cus/policies/L5_engines/audit_evidence.py,policies,L5 — Domain Engine,logs,L5 — Domain Engine,backend/app/hoc/cus/logs/L5_engines/audit_evidence.py,"""audit trail"", ""evidence record"" are in logs' qualifier_phrases. | Source deleted (zero callers, target is canonical)",DELETE_DUPLICATE,92343c5315875438d15c03c2ea198745c3b35999de5e72eb0dade96cbacdf478,030a9db74f894a8a169c5f2c1a9df76301e9268b61be811e269484e2d4e3ef7e
M064,backend/app/hoc/cus/policies/L5_engines/billing_provider.py,policies,L5 — Domain Engine,account,L5 — Domain Engine,backend/app/hoc/cus/account/L5_engines/billing_provider.py,"""billing"", ""subscription"" are in account's qualifier_phrases.",MOVED,1483ac2f5ff28d5a1736ab715b769d8aa2d52806c632ef5261cf761c31cc36fb,
M065,backend/app/hoc/cus/policies/L5_engines/budget_enforcement_engine.py,policies,L4 — Domain Engine (System Truth),controls,L4 — Domain Engine (System Truth),backend/app/hoc/cus/controls/L5_engines/budget_enforcement_engine.py,"""budget"" is EXPLICITLY in controls' qualifier_phrases. Budget",MOVED,4daeb23c1b26b88449af3a88f2bb8b5b334f1c6e918441c298a833671235bce0,
