capability_id,domain,capability_name,description,mode,scope,mutates_state,bulk_support,latency_profile,execution_style,reversibility,authority_required,adapters,operators,confidence_level,l2_1_aligned,l2_1_surface,risk_flags
CAP-LOG-DETAIL,Logs,Get Log Detail,Get log detail with execution steps,READ,SINGLE,NO,NO,LOW,ASYNC,N/A,NONE,CustomerLogsAdapter,get_log(),HIGH,YES,LOGS.EXECUTION_TRACES.TRACE_DETAILS,Internal fields redacted
CAP-LOG-EXPORT,Logs,Export Logs,Export logs as JSON or CSV,READ,BULK,NO,YES,MEDIUM-HIGH,ASYNC,N/A,NONE,CustomerLogsAdapter,export_logs(),MEDIUM,YES,LOGS.EXECUTION_TRACES.TRACE_DETAILS,CSV INJECTION RISK; HIGH VOLUME
CAP-KEY-LIST,Connectivity,List API Keys,List API keys with status for customer tenant,READ,BULK,NO,YES,LOW,SYNC,N/A,NONE,CustomerKeysAdapter,list_keys(),HIGH,NOT IN SEED,(not seeded - secondary nav),Key prefix only (secure)
CAP-KEY-FREEZE,Connectivity,Freeze API Key,Freeze an API key - blocks all requests,WRITE,SINGLE,YES,NO,LOW,SYNC,YES,HUMAN,CustomerKeysAdapter,freeze_key(),HIGH,NOT IN SEED,(not seeded - secondary nav),Idempotent
CAP-KEY-UNFREEZE,Connectivity,Unfreeze API Key,Unfreeze an API key - resumes processing,WRITE,SINGLE,YES,NO,LOW,SYNC,YES,HUMAN,CustomerKeysAdapter,unfreeze_key(),HIGH,NOT IN SEED,(not seeded - secondary nav),Idempotent
CAP-KEY-LIST-ADMIN,Connectivity,List API Keys (Admin),List all API keys for tenant (admin),READ,BULK,NO,YES,LOW,ASYNC,N/A,ADMIN,(direct),TenantService.list_api_keys(),HIGH,NOT IN SEED,(not seeded - secondary nav),Requires admin:* or keys:read
CAP-KEY-CREATE,Connectivity,Create API Key,Create new API key for tenant,WRITE,SINGLE,YES,NO,LOW,ASYNC,PARTIAL,ADMIN,(direct),TenantService.create_api_key(),HIGH,NOT IN SEED,(not seeded - secondary nav),FULL KEY SHOWN ONCE; Requires admin
CAP-KEY-REVOKE,Connectivity,Revoke API Key,Permanently revoke an API key,WRITE,SINGLE,YES,NO,LOW,ASYNC,NO,ADMIN,(direct),TenantService.revoke_api_key(),HIGH,NOT IN SEED,(not seeded - secondary nav),IRREVERSIBLE; Requires admin
CAP-AUTH-LOGIN-GOOGLE,Account,Google OAuth Login,Initiate Google OAuth login flow,READ,SINGLE,YES,NO,LOW,ASYNC,N/A,NONE,(direct),GoogleOAuthProvider.get_authorization_url(),HIGH,NOT IN SEED,(not seeded - account section),Requires OAuth config
CAP-AUTH-LOGIN-AZURE,Account,Azure OAuth Login,Initiate Azure AD OAuth login flow,READ,SINGLE,YES,NO,LOW,ASYNC,N/A,NONE,(direct),AzureOAuthProvider.get_authorization_url(),HIGH,NOT IN SEED,(not seeded - account section),Requires OAuth config
CAP-AUTH-SIGNUP-EMAIL,Account,Email Signup,Initiate email-based signup with OTP,WRITE,SINGLE,YES,NO,MEDIUM,ASYNC,N/A,NONE,(direct),EmailVerificationService.send_otp(),HIGH,NOT IN SEED,(not seeded - account section),Rate limiting on sends
CAP-AUTH-VERIFY-EMAIL,Account,Verify Email OTP,Verify email OTP and complete signup,WRITE,SINGLE,YES,NO,MEDIUM,ASYNC,NO,NONE,(direct),EmailVerificationService.verify_otp(),HIGH,NOT IN SEED,(not seeded - account section),Creates user + tenant
CAP-AUTH-REFRESH,Account,Refresh Token,Refresh access token using refresh token,WRITE,SINGLE,YES,NO,LOW,ASYNC,NO,REFRESH_TOKEN,(direct),create_tokens(),HIGH,NOT IN SEED,(not seeded - account section),Old token revoked
CAP-AUTH-LOGOUT,Account,Logout,Logout and invalidate refresh token,WRITE,SINGLE,YES,NO,LOW,ASYNC,NO,NONE,(direct),revoke_refresh_token(),HIGH,NOT IN SEED,(not seeded - account section),None
CAP-AUTH-ME,Account,Get Current User,Get current authenticated user info,READ,SINGLE,NO,NO,LOW,ASYNC,N/A,ACCESS_TOKEN,(direct),verify_token(),HIGH,NOT IN SEED,(not seeded - account section),None
CAP-AUTH-PROVIDERS,Account,Get Auth Providers,Get available authentication providers,READ,BULK,NO,YES,LOW,ASYNC,N/A,NONE,(direct),Config check,HIGH,NOT IN SEED,(not seeded - account section),None
CAP-TENANT-GET,Account,Get Current Tenant,Get tenant information from API key,READ,SINGLE,NO,NO,LOW,ASYNC,N/A,API_KEY,(direct),TenantService.get_tenant(),HIGH,NOT IN SEED,(not seeded - account section),None
CAP-TENANT-USAGE,Account,Get Tenant Usage,Get usage summary for current tenant,READ,SINGLE,NO,NO,LOW,ASYNC,N/A,API_KEY,(direct),TenantService.get_usage_summary(),HIGH,NOT IN SEED,(not seeded - account section),None
CAP-SETTINGS-GET,Account,Get Settings,Get read-only settings (guardrails budget etc),READ,SINGLE,NO,NO,LOW,ASYNC,N/A,NONE,(direct SQL),Direct queries,HIGH,NOT IN SEED,(not seeded - account section),READ-ONLY; Bypasses L3/L4
